code,name,requires,evolves_to,type,HP,stage,count,pack,subpack,illustrator,rarity,generation,pokedex_number,romaji_name,japanese_name,rarity_num
A1 013,Vileplume,A1 011;A1 012;A1 228;A2 001;A2 002,None,Grass,140.0,Stage 2,0,Genetic Apex,Charizard,Kyoko Umemoto,◇◇◇,1.0,45.0,Ruffresia,ラフレシア,3.0
A1 014,Paras,None,A1 015,Grass,70.0,Basic,1,Genetic Apex,Pikachu,Naoyo Kimura,◇,1.0,46.0,Paras,パラス,1.0
A1 015,Parasect,A1 014,None,Grass,120.0,Stage 1,0,Genetic Apex,Pikachu,Eri Yamaki,◇◇,1.0,47.0,Parasect,パラセクト,2.0
A1 016,Venonat,None,A1 017,Grass,60.0,Basic,1,Genetic Apex,Mewtwo,HYOGONOSUKE,◇,1.0,48.0,Kongpang,コンパン,1.0
A1 017,Venomoth,A1 016,None,Grass,80.0,Stage 1,1,Genetic Apex,Mewtwo,Mina Nakai,◇◇,1.0,49.0,Morphon,モルフォン,2.0
A1 018,Bellsprout,None,A1 019,Grass,60.0,Basic,0,Genetic Apex,Charizard,HYOGONOSUKE,◇,1.0,69.0,Madatsubomi,マダツボミ,1.0
A1 019,Weepinbell,A1 018,A1 020,Grass,90.0,Stage 1,0,Genetic Apex,Charizard,Miki Tanaka,◇◇,1.0,70.0,Utsudon,ウツドン,2.0
A1 020,Victreebel,A1 018;A1 019,None,Grass,140.0,Stage 2,0,Genetic Apex,Charizard,Sumiyoshi Kizuki,◇◇◇,1.0,71.0,Utsubot,ウツボット,3.0
A1 021,Exeggcute,None,A1 022;A1 023;A1 252;A1a 002;A1a 069;A3 002;A3 156;A3 214;A3 231;PA 069,Grass,50.0,Basic,0,Genetic Apex,Charizard,kawayoo,◇,1.0,102.0,Tamatama,タマタマ,1.0
A1 022,Exeggutor,A1 021;A1a 001;A3 001;A3 213;PA 060,None,Grass,130.0,Stage 1,0,Genetic Apex,Charizard,Yukiko Baba,◇◇◇,1.0,103.0,Nassy,ナッシー,3.0
A1 023,Exeggutor ex,A1 021;A1a 001;A3 001;A3 213;PA 060,None,Grass,160.0,Stage 1,0,Genetic Apex,Charizard,PLANETA CG Works,◇◇◇◇,1.0,103.0,Nassy,ナッシー,4.0
A1 024,Tangela,None,A2 005;A2 156,Grass,80.0,Basic,0,Genetic Apex,Charizard,Midori Harada,◇,1.0,114.0,Monjara,モンジャラ,1.0
A1 025,Scyther,None,None,Grass,70.0,Basic,0,Genetic Apex,Mewtwo,Hasuno,◇,1.0,123.0,Strike,ストライク,1.0
A1 026,Pinsir,None,None,Grass,90.0,Basic,3,Genetic Apex,Pikachu;Mewtwo;Charizard,Eri Yamaki,◇◇,1.0,127.0,Kailios,カイロス,2.0
A1 027,Cottonee,None,A1 028,Grass,50.0,Basic,3,Genetic Apex,Pikachu;Mewtwo;Charizard,Kanako Eo,◇,5.0,546.0,Monmen,モンメン,1.0
A1 028,Whimsicott,A1 027,None,Grass,80.0,Stage 1,1,Genetic Apex,Pikachu;Mewtwo;Charizard,Atsuko Nishida,◇◇,5.0,547.0,Elfuun,エルフーン,2.0
A1 029,Petilil,None,A1 030;A3a 002,Grass,60.0,Basic,1,Genetic Apex,Pikachu;Mewtwo;Charizard,Naoyo Kimura,◇,5.0,548.0,Churine,チュリネ,1.0
A1 030,Lilligant,A1 029;A3a 001,None,Grass,100.0,Stage 1,3,Genetic Apex,Pikachu;Mewtwo;Charizard,You Iribi,◇◇,5.0,549.0,Dredear,ドレディア,2.0
A1 031,Skiddo,None,A1 032,Grass,70.0,Basic,1,Genetic Apex,Charizard,Naoki Saito,◇,6.0,672.0,Meecle,メェークル,1.0
A1 032,Gogoat,A1 031,None,Grass,120.0,Stage 1,1,Genetic Apex,Charizard,You Iribi,◇,6.0,673.0,Gogoat,ゴーゴート,1.0
A1 033,Charmander,None,A1 034;A2b 009;A2b 100,Fire,60.0,Basic,0,Genetic Apex,Charizard,Teeziro,◇,1.0,4.0,Hitokage,ヒトカゲ,1.0
A1 034,Charmeleon,A1 033;A1 230;A2b 008;A2b 099;PA 032,A1 035;A1 036;A1 253;A1 280;A1 284;A2b 010;A2b 080;A2b 108,Fire,90.0,Stage 1,0,Genetic Apex,Charizard,kantaro,◇◇,1.0,5.0,Lizardo,リザード,2.0
A1 035,Charizard,A1 033;A1 034;A1 230;A2b 008;A2b 009;A2b 099;A2b 100;PA 032,None,Fire,150.0,Stage 2,0,Genetic Apex,Charizard,takuyoa,◇◇◇,1.0,6.0,Lizardon,リザードン,3.0
A1 036,Charizard ex,A1 033;A1 034;A1 230;A2b 008;A2b 009;A2b 099;A2b 100;PA 032,None,Fire,180.0,Stage 2,1,Genetic Apex,Charizard,PLANETA Mochizuki,◇◇◇◇,1.0,6.0,Lizardon,リザードン,4.0
A1 037,Vulpix,None,A1 038,Fire,50.0,Basic,2,Genetic Apex,Charizard,Toshinao Aoki,◇,1.0,37.0,Rokon,ロコン,1.0
A1 038,Ninetales,A1 037,None,Fire,90.0,Basic,0,Genetic Apex,Charizard,You Iribi,◇◇,1.0,38.0,Kyukon,キュウコン,2.0
A1 039,Growlithe,None,A1 040;A1 041;A1 254;A3 026;A3a 090;A3a 100,Fire,70.0,Basic,3,Genetic Apex,Pikachu,Mizue,◇,1.0,58.0,Gardie,ガーディ,1.0
A1 040,Arcanine,A1 039;A3 025;A3a 089,None,Fire,130.0,Stage 1,1,Genetic Apex,Pikachu,kodama,◇◇◇,1.0,59.0,Windie,ウインディ,3.0
A1 041,Arcanine ex,A1 039;A3 025;A3a 089,None,Fire,150.0,Stage 1,0,Genetic Apex,Pikachu,PLANETA Saito,◇◇◇◇,1.0,59.0,Windie,ウインディ,4.0
A1 042,Ponyta,None,A1 043;A1 231;A1a 011,Fire,60.0,Basic,1,Genetic Apex,Pikachu;Mewtwo;Charizard,Uta,◇,1.0,77.0,Ponyta,ポニータ,1.0
A1 043,Rapidash,A1 042;A1a 010,None,Fire,100.0,Stage 1,1,Genetic Apex,Pikachu;Mewtwo;Charizard,Misa Tsutsui,◇◇,1.0,78.0,Gallop,ギャロップ,2.0
A1 044,Magmar,None,A2 024;A2b 012,Fire,80.0,Basic,0,Genetic Apex,Charizard,Ryuta Fuse,◇,1.0,126.0,Boober,ブーバー,1.0
A1 045,Flareon,A1 206;A1 207;A1 208;A1 248;A1a 061;A2 126;A2a 062;A3b 055;A3b 056;A3b 078;A3b 083;A3b 092;PA 030;PA 092,None,Fire,120.0,Stage 1,0,Genetic Apex,Charizard,sui,◇◇◇,1.0,136.0,Booster,ブースター,3.0
A1 046,Moltres,None,None,Fire,100.0,Basic,0,Genetic Apex,Charizard,Hitoshi Ariga,◇◇◇,1.0,146.0,Fire,ファイヤー,3.0
A1 047,Moltres ex,None,None,Fire,140.0,Basic,0,Genetic Apex,Charizard,PLANETA Tsuji,◇◇◇◇,1.0,146.0,Fire,ファイヤー,4.0
A1 048,Heatmor,None,None,Fire,80.0,Basic,3,Genetic Apex,Pikachu;Mewtwo;Charizard,Suwama Chiaki,◇,5.0,631.0,Kuitaran,クイタラン,1.0
A1 049,Salandit,None,A1 050;A1a 016;A3 036;A3b 015,Fire,60.0,Basic,0,Genetic Apex,Mewtwo,Kyoko Umemoto,◇,7.0,757.0,Yatoumori,ヤトウモリ,1.0
A1 050,Salazzle,A1 049;A1a 015;A1a 071;A3 035;A3b 014,None,Fire,90.0,Stage 1,0,Genetic Apex,Mewtwo,hatachu,◇,7.0,758.0,Ennewt,エンニュート,1.0
A1 051,Sizzlipede,None,A1 052,Fire,60.0,Basic,0,Genetic Apex,Pikachu;Mewtwo;Charizard,Teeziro,◇,8.0,850.0,Yakude,ヤクデ,1.0
A1 052,Centiskorch,A1 051,None,Fire,130.0,Stage 1,0,Genetic Apex,Pikachu;Mewtwo;Charizard,GOSSAN,◇◇,8.0,851.0,Maruyakude,マルヤクデ,2.0
A1 053,Squirtle,None,A1 054;A3 216,Water,60.0,Basic,4,Genetic Apex,Pikachu,Mizue,◇,1.0,7.0,Zenigame,ゼニガメ,1.0
A1 054,Wartortle,A1 053;A1 232;A3 215;PA 033,A1 055;A1 056;A1 256;A3 217;A3 232;PA 029,Water,80.0,Stage 1,1,Genetic Apex,Pikachu,Nelnal,◇◇,1.0,8.0,Kameil,カメール,2.0
A1 055,Blastoise,A1 053;A1 054;A1 232;A3 215;A3 216;PA 033,None,Water,150.0,Stage 2,0,Genetic Apex,Pikachu,Nurikabe,◇◇◇,1.0,9.0,Kamex,カメックス,3.0
A1 056,Blastoise ex,A1 053;A1 054;A1 232;A3 215;A3 216;PA 033,None,Water,180.0,Stage 2,0,Genetic Apex,Pikachu,PLANETA Tsuji,◇◇◇◇,1.0,9.0,Kamex,カメックス,4.0
A1 057,Psyduck,None,A1 058,Water,60.0,Basic,2,Genetic Apex,Pikachu;Mewtwo;Charizard,Shibuzoh.,◇,1.0,54.0,Koduck,コダック,1.0
A1 058,Golduck,A1 057,None,Water,90.0,Stage 1,0,Genetic Apex,Pikachu;Mewtwo;Charizard,Naoki Saito,◇◇,1.0,55.0,Golduck,ゴルダック,2.0
A1 059,Poliwag,None,A1 060,Water,60.0,Basic,0,Genetic Apex,Charizard,Shibuzoh.,◇,1.0,60.0,Nyoromo,ニョロモ,1.0
A1 060,Poliwhirl,A1 059,A1 061,Water,90.0,Stage 1,0,Genetic Apex,Charizard,Yuka Morii,◇◇,1.0,61.0,Nyorozo,ニョロゾ,2.0
A1 061,Poliwrath,A1 059;A1 060,None,Water,150.0,Stage 2,0,Genetic Apex,Charizard,Akira Komayama,◇◇◇,1.0,62.0,Nyorobon,ニョロボン,3.0
A1 062,Tentacool,None,A1 063;A2b 015,Water,60.0,Basic,2,Genetic Apex,Mewtwo,Shinya Komatsu,◇,1.0,72.0,Menokurage,メノクラゲ,1.0
A1 063,Tentacruel,A1 062;A2b 014,None,Water,110.0,Stage 1,1,Genetic Apex,Mewtwo,kodama,◇◇,1.0,73.0,Dokukurage,ドククラゲ,2.0
A1 064,Seel,None,A1 065,Water,80.0,Basic,2,Genetic Apex,Pikachu,Masako Yamashita,◇,1.0,86.0,Pawou,パウワウ,1.0
A1 065,Dewgong,A1 064,None,Water,120.0,Basic,0,Genetic Apex,Pikachu,Kanako Eo,◇◇,1.0,87.0,Jugon,ジュゴン,2.0
A1 066,Shellder,None,None,Water,60.0,Basic,1,Genetic Apex,Mewtwo,Sumiyoshi Kizuki,◇,1.0,90.0,Shellder,シェルダー,1.0
A1 067,Cloyster,None,None,Water,120.0,Stage 1,0,Genetic Apex,Mewtwo,Saya Tsuruta,◇◇,1.0,91.0,Parshen,パルシェン,2.0
A1 068,Krabby,None,A1 069,Water,70.0,Basic,2,Genetic Apex,Mewtwo,Tomokazu Komiya,◇,1.0,98.0,Crab,クラブ,1.0
A1 069,Kingler,A1 068,None,Water,120.0,Basic,0,Genetic Apex,Mewtwo,Shigenori Negishi,◇◇,1.0,99.0,Kingler,キングラー,2.0
A1 070,Horsea,None,A1 071,Water,60.0,Basic,0,Genetic Apex,Pikachu,Saya Tsuruta,◇,1.0,116.0,Tattu,タッツー,1.0
A1 071,Seadra,A1 070,None,Water,70.0,Stage 1,1,Genetic Apex,Pikachu,Sanosuke Sakuma,◇◇,1.0,117.0,Seadra,シードラ,2.0
A1 072,Goldeen,None,A1 073,Water,40.0,Basic,0,Genetic Apex,Pikachu,Kyoko Umemoto,◇,1.0,118.0,Tosakinto,トサキント,1.0
A1 073,Seaking,A1 072,None,Water,100.0,Stage 1,1,Genetic Apex,Pikachu,Kyoko Umemoto,◇,1.0,119.0,Azumao,アズマオウ,1.0
A1 074,Staryu,None,A1 075;A1 076;A1 257;A3 219;A3 233,Water,50.0,Basic,1,Genetic Apex,Charizard,Hiroki Asanuma,◇,1.0,120.0,Hitodeman,ヒトデマン,1.0
A1 075,Starmie,A1 074;A3 218,None,Water,90.0,Stage 1,2,Genetic Apex,Charizard,Yukiko Baba,◇◇,1.0,121.0,Starmie,スターミー,2.0
A1 076,Starmie ex,A1 074;A3 218,None,Water,130.0,Stage 1,0,Genetic Apex,Charizard,PLANETA Igarashi,◇◇◇◇,1.0,121.0,Starmie,スターミー,4.0
A1 077,Magikarp,None,A1 078;A1 233;A1a 018;A1a 076,Water,30.0,Basic,2,Genetic Apex,Pikachu,Sekio,◇,1.0,129.0,Koiking,コイキング,1.0
A1 078,Gyarados,A1 077;A1a 017,None,Water,150.0,Stage 1,0,Genetic Apex,Pikachu,Mitsuhiro Arita,◇◇◇,1.0,130.0,Gyarados,ギャラドス,3.0
A1 079,Lapras,None,None,Water,100.0,Basic,1,Genetic Apex,Charizard,Sekio,◇◇◇,1.0,131.0,Laplace,ラプラス,3.0
A1 080,Vaporeon,A1 206;A1 207;A1 208;A1 248;A1a 061;A2 126;A2a 062;A3b 055;A3b 056;A3b 078;A3b 083;A3b 092;PA 030;PA 092,None,Water,130.0,Stage 1,1,Genetic Apex,Mewtwo,Kagemaru Himeno,◇◇◇,1.0,134.0,Showers,シャワーズ,3.0
A1 081,Omanyte,A1 216,A1 082,Water,90.0,Stage 1,0,Genetic Apex,Pikachu,Suwama Chiaki,◇◇,1.0,138.0,Omnite,オムナイト,2.0
A1 082,Omastar,A1 081,None,Water,140.0,Stage 2,0,Genetic Apex,Pikachu,kirisAki,◇◇◇,1.0,139.0,Omstar,オムスター,3.0
A1 083,Articuno,None,None,Water,100.0,Basic,0,Genetic Apex,Mewtwo,Hitoshi Ariga,◇◇◇,1.0,144.0,Freezer,フリーザー,3.0
A1 084,Articuno ex,None,None,Water,140.0,Basic,0,Genetic Apex,Mewtwo,PLANETA Saito,◇◇◇◇,1.0,144.0,Freezer,フリーザー,4.0
A1 085,Ducklett,None,A1 086,Water,50.0,Basic,1,Genetic Apex,Charizard,Yumi,◇,5.0,580.0,Koaruhie,コアルヒー,1.0
A1 086,Swanna,A1 085,None,Water,90.0,Stage 1,0,Genetic Apex,Charizard,sui,◇◇,5.0,581.0,Swanna,スワンナ,2.0
A1 087,Froakie,None,A1 088;A3a 092,Water,60.0,Basic,0,Genetic Apex,Charizard,Aya Kusube,◇,6.0,656.0,Keromatsu,ケロマツ,1.0
A1 088,Frogadier,A1 087;A3a 091;PA 061,A1 089;A3a 093;PA 019,Water,80.0,Stage 1,0,Genetic Apex,Charizard,Akira Komayama,◇◇,6.0,657.0,Gekogashira,ゲコガシラ,2.0
A1 089,Greninja,A1 087;A1 088;A3a 091;A3a 092;PA 061,None,Water,120.0,Stage 2,0,Genetic Apex,Charizard,5ban Graphics,◇◇◇,6.0,658.0,Gekkouga,ゲッコウガ,3.0
A1 090,Pyukumuku,None,None,Water,70.0,Basic,0,Genetic Apex,Charizard,OOYAMA,◇,7.0,771.0,Namakobushi,ナマコブシ,1.0
A1 091,Bruxish,None,None,Water,90.0,Basic,3,Genetic Apex,Pikachu;Mewtwo;Charizard,Mizue,◇◇,7.0,779.0,Hagigishiri,ハギギシリ,2.0
A1 092,Snom,None,A1 093,Water,50.0,Basic,4,Genetic Apex,Pikachu;Mewtwo;Charizard,ryoma uratsuka,◇,8.0,872.0,Yukihami,ユキハミ,1.0
A1 093,Frosmoth,A1 092,None,Water,90.0,Stage 1,0,Genetic Apex,Pikachu;Mewtwo;Charizard,aoki,◇◇,8.0,873.0,Mothnow,モスノウ,2.0
A1 094,Pikachu,None,A1 095;A1a 026;A2a 026;PA 044,Electric,60.0,Basic,0,Genetic Apex,Pikachu,Mitsuhiro Arita,◇,1.0,25.0,Pikachu,ピカチュウ,1.0
A1 095,Raichu,A1 094;A1 096;A1 259;A1 281;A1 285;A1a 025;A2a 025;A2b 022;A2b 082;A2b 092;A3 057;PA 009;PA 015;PA 026,None,Electric,100.0,Stage 1,0,Genetic Apex,Pikachu,AKIRA EGAWA,◇◇◇,1.0,26.0,Raichu,ライチュウ,3.0
A1 096,Pikachu ex,None,A1 095;A1a 026;A2a 026;PA 044,Electric,120.0,Basic,0,Genetic Apex,Pikachu,PLANETA CG Works,◇◇◇◇,1.0,25.0,Pikachu,ピカチュウ,4.0
A1 097,Magnemite,None,A1 098;A2 052;A2a 054,Electric,60.0,Basic,0,Genetic Apex,Pikachu,sowsow,◇,1.0,81.0,Coil,コイル,1.0
A1 098,Magneton,A1 097;A2 051;A2a 053;A2a 080;PA 024,A2 053;A2a 055,Electric,80.0,Stage 1,0,Genetic Apex,Pikachu,kirisAki,◇◇◇,1.0,82.0,Rarecoil,レアコイル,3.0
A1 099,Voltorb,None,A1 100;A1 235;A2 055;A2b 024;A3b 096,Electric,60.0,Basic,2,Genetic Apex,Pikachu,SATOSHI NAKAI,◇,1.0,100.0,Biriridama,ビリリダマ,1.0
A1 100,Electrode,A1 099;A2 054;A2b 023;A3b 095,None,Electric,80.0,Basic,1,Genetic Apex,Pikachu,Asako Ito,◇◇,1.0,101.0,Marumine,マルマイン,2.0
A1 101,Electabuzz,None,A2 057;PA 036,Electric,70.0,Basic,0,Genetic Apex,Pikachu,Ryuta Fuse,◇,1.0,125.0,Eleboo,エレブー,1.0
A1 102,Jolteon,A1 206;A1 207;A1 208;A1 248;A1a 061;A2 126;A2a 062;A3b 055;A3b 056;A3b 078;A3b 083;A3b 092;PA 030;PA 092,None,Electric,90.0,Stage 1,0,Genetic Apex,Pikachu,Kouki Saitou,◇◇◇,1.0,135.0,Thunders,サンダース,3.0
A1 103,Zapdos,None,None,Electric,90.0,Basic,0,Genetic Apex,Pikachu,Hitoshi Ariga,◇◇◇,1.0,145.0,Thunder,サンダー,3.0
A1 104,Zapdos ex,None,None,Electric,130.0,Basic,0,Genetic Apex,Pikachu,PLANETA CG Works,◇◇◇◇,1.0,145.0,Thunder,サンダー,4.0
A1 105,Blitzle,None,A1 106;A3a 017,Electric,60.0,Basic,3,Genetic Apex,Pikachu;Mewtwo;Charizard,Shin Nagasawa,◇,5.0,522.0,Shimama,シママ,1.0
A1 106,Zebstrika,A1 105;A3a 016,None,Electric,90.0,Stage 1,3,Genetic Apex,Pikachu;Mewtwo;Charizard,Misa Tsutsui,◇◇,5.0,523.0,Zebraika,ゼブライカ,2.0
A1 107,Tynamo,None,A1 108,Electric,30.0,Basic,0,Genetic Apex,Mewtwo,Asako Ito,◇,5.0,602.0,Shibishirasu,シビシラス,1.0
A1 108,Eelektrik,A1 107,A1 109,Electric,80.0,Stage 1,0,Genetic Apex,Mewtwo,Midori Harada,◇◇,5.0,603.0,Shibibeel,シビビール,2.0
A1 109,Eelektross,A1 107;A1 108,None,Electric,140.0,Stage 2,0,Genetic Apex,Mewtwo,hatachu,◇◇◇,5.0,604.0,Shibirudon,シビルドン,3.0
A1 110,Helioptile,None,A1 111;A3 063,Electric,60.0,Basic,2,Genetic Apex,Pikachu;Mewtwo;Charizard,5ban Graphics,◇,6.0,694.0,Erikiteru,エリキテル,1.0
A1 111,Heliolisk,A1 110;A3 062,None,Electric,90.0,Stage 1,1,Genetic Apex,Pikachu;Mewtwo;Charizard,otumami,◇,6.0,695.0,Elezard,エレザード,1.0
A1 112,Pincurchin,None,None,Electric,70.0,Basic,2,Genetic Apex,Pikachu;Mewtwo;Charizard,Tika Matsuno,◇◇,8.0,871.0,Bachinuni,バチンウニ,2.0
A1 113,Clefairy,None,A1 114;A2a 030;A3a 023,Psychic,60.0,Basic,0,Genetic Apex,Pikachu,kirisAki,◇,1.0,35.0,Pippi,ピッピ,1.0
A1 114,Clefable,A1 113;A2a 029;A3a 022;PA 016,None,Psychic,100.0,Stage 1,1,Genetic Apex,Pikachu,Sanosuke Sakuma,◇◇,1.0,36.0,Pixy,ピクシー,2.0
A1 115,Abra,None,A1 116;A2b 030,Psychic,60.0,Basic,1,Genetic Apex,Charizard,Aya Kusube,◇,1.0,63.0,Casey,ケーシィ,1.0
A1 116,Kadabra,A1 115;A2b 029,A1 117;A1 236;A2b 031,Psychic,80.0,Stage 1,0,Genetic Apex,Charizard,Ken Sugimori,◇◇,1.0,64.0,Yungerer,ユンゲラー,2.0
A1 117,Alakazam,A1 115;A1 116;A2b 029;A2b 030,None,Psychic,130.0,Stage 2,0,Genetic Apex,Charizard,Kouki Saitou,◇◇◇,1.0,65.0,Foodin,フーディン,3.0
A1 118,Slowpoke,None,A1 119,Psychic,70.0,Basic,2,Genetic Apex,Pikachu;Mewtwo;Charizard,Miki Tanaka,◇,1.0,79.0,Yadon,ヤドン,1.0
A1 119,Slowbro,A1 118;A1 237,None,Psychic,130.0,Stage 1,2,Genetic Apex,Pikachu;Mewtwo;Charizard,Kagemaru Himeno,◇◇,1.0,80.0,Yadoran,ヤドラン,2.0
A1 120,Gastly,None,A1 121;A2a 032;A3 221;PA 020,Psychic,60.0,Basic,1,Genetic Apex,Mewtwo,Masako Yamashita,◇,1.0,92.0,Ghos,ゴース,1.0
A1 121,Haunter,A1 120;A2a 031;A3 220,A1 122;A1 123;A1 261;A1 277;A2a 033;A3 222;A3 234,Psychic,80.0,Stage 1,0,Genetic Apex,Mewtwo,Nisota Niso,◇◇,1.0,93.0,Ghost,ゴースト,2.0
A1 122,Gengar,A1 120;A1 121;A2a 031;A2a 032;A3 220;A3 221;PA 020,None,Psychic,130.0,Stage 2,1,Genetic Apex,Mewtwo,Naoyo Kimura,◇◇◇,1.0,94.0,Gangar,ゲンガー,3.0
A1 123,Gengar ex,A1 120;A1 121;A2a 031;A2a 032;A3 220;A3 221;PA 020,None,Psychic,170.0,Stage 2,0,Genetic Apex,Mewtwo,PLANETA CG Works,◇◇◇◇,1.0,94.0,Gangar,ゲンガー,4.0
A1 124,Drowzee,None,A1 125,Psychic,70.0,Basic,1,Genetic Apex,Pikachu,Yukiko Baba,◇,1.0,96.0,Sleepe,スリープ,1.0
A1 125,Hypno,A1 124,None,Psychic,100.0,Stage 1,0,Genetic Apex,Pikachu,Shigenori Negishi,◇◇◇,1.0,97.0,Sleeper,スリーパー,3.0
A1 126,Mr. Mime,None,None,Psychic,80.0,Basic,0,Genetic Apex,Mewtwo,Kagemaru Himeno,◇◇,1.0,122.0,Barrierd,バリヤード,2.0
A1 127,Jynx,None,None,Psychic,80.0,Basic,1,Genetic Apex,Mewtwo,Oswaldo KATO,◇,1.0,124.0,Rougela,ルージュラ,1.0
A1 128,Mewtwo,None,None,Psychic,120.0,Basic,0,Genetic Apex,Mewtwo,kawayoo,◇◇◇,1.0,150.0,Mewtwo,ミュウツー,3.0
A1 129,Mewtwo ex,None,None,Psychic,150.0,Basic,1,Genetic Apex,Mewtwo,PLANETA Mochizuki,◇◇◇◇,1.0,150.0,Mewtwo,ミュウツー,4.0
A1 130,Ralts,None,A1 131;A2 069;A3b 098,Psychic,60.0,Basic,0,Genetic Apex,Mewtwo,Yuka Morii,◇,3.0,280.0,Ralts,ラルトス,1.0
A1 131,Kirlia,A1 130;A2 068;A3b 097,A1 132;A3b 099,Psychic,80.0,Stage 1,0,Genetic Apex,Mewtwo,sowsow,◇◇,3.0,281.0,Kirlia,キルリア,2.0
A1 132,Gardevoir,A1 130;A1 131;A2 068;A2 069;A3b 097;A3b 098,None,Psychic,110.0,Stage 2,0,Genetic Apex,Mewtwo,Yuu Nishida,◇◇◇,3.0,282.0,Sirnight,サーナイト,3.0
A1 133,Woobat,None,A1 134;A3b 030,Psychic,60.0,Basic,1,Genetic Apex,Pikachu;Mewtwo;Charizard,MAHOU,◇,5.0,527.0,Koromori,コロモリ,1.0
A1 134,Swoobat,A1 133;A3b 029,None,Psychic,90.0,Stage 1,0,Genetic Apex,Pikachu;Mewtwo;Charizard,Masakazu Fukuda,◇,5.0,528.0,Kokoromori,ココロモリ,1.0
A1 135,Golett,None,A1 136,Psychic,90.0,Basic,4,Genetic Apex,Pikachu;Mewtwo;Charizard,Kyoko Umemoto,◇,5.0,622.0,Gobit,ゴビット,1.0
A1 136,Golurk,A1 135,None,Psychic,140.0,Stage 1,2,Genetic Apex,Pikachu;Mewtwo;Charizard,match,◇◇,5.0,623.0,Goloog,ゴルーグ,2.0
A1 137,Sandshrew,None,A1 138,Fighting,70.0,Basic,7,Genetic Apex,Pikachu;Mewtwo;Charizard,Miki Tanaka,◇,1.0,27.0,Sand,サンド,1.0
A1 138,Sandslash,A1 137,None,Fighting,100.0,Stage 1,2,Genetic Apex,Pikachu;Mewtwo;Charizard,Miki Tanaka,◇◇,1.0,28.0,Sandpan,サンドパン,2.0
A1 139,Diglett,None,A1 140,Fighting,50.0,Basic,0,Genetic Apex,Pikachu,Masako Yamashita,◇,1.0,50.0,Digda,ディグダ,1.0
A1 140,Dugtrio,A1 139;A1 238,None,Fighting,70.0,Stage 1,1,Genetic Apex,Pikachu,Akira Komayama,◇◇,1.0,51.0,Dugtrio,ダグトリオ,2.0
A1 141,Mankey,None,A1 142;A1a 042,Fighting,60.0,Basic,0,Genetic Apex,Charizard,Kanako Eo,◇,1.0,56.0,Mankey,マンキー,1.0
A1 142,Primeape,A1 141;A1a 041;PA 017,None,Fighting,90.0,Stage 1,1,Genetic Apex,Charizard,Kagemaru Himeno,◇◇,1.0,57.0,Okorizaru,オコリザル,2.0
